periodo,ventas_netas,costo_total,margen_bruto,margen_bruto_pct,gastos_operativos,resultado_operativo,resultado_operativo_pct,ventas_mom_pct,margen_mom_pct,notas_credito,importe_notas_credito
2025-01,21062229.00,15575430.00,5486799.00,0.2605,5790665.00,-303866.00,-0.0144,,,9,-245930.00
2025-02,20366404.76,14894918.00,5471486.76,0.2687,5723754.00,-252267.24,-0.0124,-0.0330,-0.0028,7,-424804.52
2025-03,18330878.35,13169803.00,5161075.35,0.2816,5472714.00,-311638.65,-0.0170,-0.0999,-0.0567,7,-376567.81
2025-04,17699941.99,12292992.00,5406949.99,0.3055,5324872.00,82077.99,0.0046,-0.0344,0.0476,8,-485204.48
2025-05,20619871.89,14747593.00,5872278.89,0.2848,5894603.00,-22324.11,-0.0011,0.1650,0.0861,4,-197188.64
2025-06,22421267.50,16381479.00,6039788.50,0.2694,6304883.00,-265094.50,-0.0118,0.0874,0.0285,9,-647227.11
